Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
ACADEMY CHARTER SCHOOL,New York,3600997,NASSAU COUNTY,NY ,ACADEMY CHARTER SCHOOL
ACADEMY CS,Pennsylvania,4200133,ALLEGHENY COUNTY,PA ,ACADEMY CS
ACADEMY DEL SOL  INC.,Arizona,400797,PIMA COUNTY,AZ ,ACADEMY DEL SOL  INC.
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,4800093,DALLAS COUNTY,TX ,DALLAS COUNTY JUVENILE JUSTICE
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,2600166,WAYNE COUNTY,MI ,ACADEMY FOR BUSINESS AND TECHNOLOGY
ACADEMY FOR CREATIVE LEARNERS-CLEVELAND WEST,Ohio,3901400,CUYAHOGA COUNTY,OH ,ACADEMY FOR CREATIVE LEARNERS-CLEVELAND WEST
ACADEMY FOR CREATIVE LEARNERS-MANSFIELD,Ohio,3901401,CUYAHOGA COUNTY,OH ,ACADEMY FOR CREATIVE LEARNERS-MANSFIELD
ACADEMY FOR CREATIVE LEARNERS-TOLEDO,Ohio,3901399,CUYAHOGA COUNTY,OH ,ACADEMY FOR CREATIVE LEARNERS-TOLEDO
ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),Utah,4900017,SALT LAKE COUNTY,UT ,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES)
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,3300040,HILLSBOROUGH COUNTY,NH ,ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL
ACADEMY FOR URBAN LEADERSHIP,New Jersey,3400741,MIDDLESEX COUNTY,NJ ,ACADEMY FOR URBAN LEADERSHIP CS
ACADEMY FOR URBAN SOLUTIONS,Ohio,3901387,FRANKLIN COUNTY,OH ,ACADEMY FOR URBAN SOLUTIONS
ACADEMY ISD,Texas,4807470,BELL COUNTY,TX ,ACADEMY ISD
ACADEMY OF ACCELERATED LEARNING INC,Texas,4800032,HARRIS COUNTY,TX ,ACADEMY OF ACCELERATED LEARNING INC
ACADEMY OF ARIZONA,Arizona,400234,OAKLAND COUNTY,AZ ,ACADEMY OF ARIZONA
ACADEMY OF ARTS AND HUMANITIES,Ohio,3900578,TRUMBULL COUNTY,OH ,ACADEMY OF ARTS AND HUMANITIES
ACADEMY OF ARTS AND SCIENCES,Ohio,3900594,LORAIN COUNTY,OH ,ACADEMY OF ARTS AND SCIENCES
ACADEMY OF BUILDING INDUSTRIES  INC.,Arizona,400414,MOHAVE COUNTY,AZ ,ACADEMY OF BUILDING INDUSTRIES  INC.
ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL,Texas,4800199,BEXAR COUNTY,TX ,ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL
ACADEMY OF COLUMBUS,Ohio,3900438,FRANKLIN COUNTY,OH ,ACADEMY OF COLUMBUS
ACADEMY OF DALLAS,Texas,4800090,DALLAS COUNTY,TX ,ACADEMY OF DALLAS
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,1000017,KENT COUNTY,DE ,ACADEMY OF DOVER CHARTER SCHOOL
ACADEMY OF EXCELLENCE  INC.,Arizona,400128,MARICOPA COUNTY,AZ ,ACADEMY OF EXCELLENCE  INC.
ACADEMY OF FLINT,Michigan,2600198,GENESEE COUNTY,MI ,ACADEMY OF FLINT
ACADEMY OF LATHRUP VILLAGE,Michigan,2600109,OAKLAND COUNTY,MI ,ACADEMY OF LATHRUP VILLAGE
ACADEMY OF MATHEMATICS AND SCIENCE  INC.,Arizona,400368,PIMA COUNTY,AZ ,ACADEMY OF MATH AND SCIENCE  INC.
ACADEMY OF NEW MEDIA MIDDLE,Ohio,3901425,FRANKLIN COUNTY,OH ,ACADEMY OF NEW MEDIA MIDDLE
ACADEMY OF NORTH MINNEAPOLIS,Minnesota,2700330,HENNEPIN COUNTY,MN ,ACADEMY OF NORTH MINNEAPOLIS
ACADEMY OF SOUTHFIELD,Michigan,2600108,OAKLAND COUNTY,MI ,ACADEMY OF SOUTHFIELD
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,2500021,SUFFOLK COUNTY,MA ,ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT)
