Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
CAMPBELL CITY,Ohio,3904370,MAHONING COUNTY,OH ,CAMPBELL CITY
CAMPBELL CO,Kentucky,2100900,CAMPBELL COUNTY,KY ,CAMPBELL CO
CAMPBELL CO PBLC SCHS,Virginia,5100600,CAMPBELL COUNTY,VA ,CAMPBELL CO PBLC SCHS
CAMPBELL COUNTY,Tennessee,4700420,CAMPBELL COUNTY,TN ,CAMPBELL COUNTY
CAMPBELL COUNTY SCHOOL DISTRICT #1,Wyoming,5601470,CAMPBELL COUNTY,WY ,CAMPBELL COUNTY SCHOOL DISTRICT #1
CAMPBELL ISD,Texas,4812660,HUNT COUNTY,TX ,CAMPBELL ISD
CAMPBELL R-II,Missouri,2907050,DUNKLIN COUNTY,MO ,CAMPBELL R-II
CAMPBELL UNION,California,607200,SANTA CLARA COUNTY,CA ,CAMPBELL UNION
CAMPBELL UNION HIGH,California,607230,SANTA CLARA COUNTY,CA ,CAMPBELL UNION HIGH
CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT,New York,3600020,STEUBEN COUNTY,NY ,CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT
CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,Minnesota,2707450,WILKIN COUNTY,MN ,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.
CAMPBELLSPORT SCHOOL DISTRICT,Wisconsin,5502160,FOND DU LAC COUNTY,WI ,CAMPBELLSPORT SCHOOL DISTRICT
CAMPBELLSVILLE IN,Kentucky,2100930,TAYLOR COUNTY,KY ,CAMPBELLSVILLE IN
CAMPO SCHOOL DISTRICT NO. RE-6,Colorado,802760,BACA COUNTY,CO ,CAMPO SCHOOL DISTRICT NO. RE-6
CAMPTON SCHOOL DISTRICT,New Hampshire,3302100,GRAFTON COUNTY,NH ,CAMPTON SCHOOL DISTRICT
CAMPTONVILLE ELEM,California,607260,YUBA COUNTY,CA ,CAMPTONVILLE ELEMENTARY
CAMPUS COMMUNITY CHARTER SCHOOL,Delaware,1000007,KENT COUNTY,DE ,CAMPUS COMMUNITY CHARTER SCHOOL
CANAAN SCHOOL DISTRICT,Connecticut,900630,LITCHFIELD COUNTY,CT ,CANAAN SCHOOL DISTRICT
CANAAN SCHOOL DISTRICT,Vermont,5002940,ESSEX COUNTY,VT ,CANAAN SCHOOL DISTRICT
CANADIAN,Oklahoma,4006390,PITTSBURG COUNTY,OK ,CANADIAN
CANADIAN ISD,Texas,4812700,HEMPHILL COUNTY,TX ,CANADIAN ISD
CANADIAN VALLEY,Oklahoma,4000052,CANADIAN COUNTY,OK ,CANADIAN VALLEY
CANADIAN VALLEY,Oklahoma,4000062,GRADY COUNTY,OK ,CANADIAN VALLEY
CANAJOHARIE CENTRAL SCHOOL DISTRICT,New York,3606300,MONTGOMERY COUNTY,NY ,CANAJOHARIE CENTRAL SCHOOL DISTRICT
CANAL WINCHESTER LOCAL,Ohio,3904694,FRANKLIN COUNTY,OH ,CANAL WINCHESTER LOCAL
CANANDAIGUA CITY SCHOOL DISTRICT,New York,3606330,ONTARIO COUNTY,NY ,CANANDAIGUA CITY SCHOOL DISTRICT
CANASERAGA CENTRAL SCHOOL DISTRICT,New York,3606360,ALLEGANY COUNTY,NY ,CANASERAGA CENTRAL SCHOOL DISTRICT
CANASTOTA CENTRAL SCHOOL DISTRICT,New York,3606390,MADISON COUNTY,NY ,CANASTOTA CENTRAL SCHOOL DISTRICT
CANBY PUBLIC SCHOOL DISTRICT,Minnesota,2707470,YELLOW MEDICINE COUNTY,MN ,CANBY PUBLIC SCHOOL DISTRICT
CANBY SD 86,Oregon,4102640,CLACKAMAS COUNTY,OR ,CANBY SD 86
CANDEO SCHOOLS  INC.,Arizona,400758,MARICOPA COUNTY,AZ ,CANDEO SCHOOLS  INC.
CANDIA SCHOOL DISTRICT,New Hampshire,3302130,MERRIMACK COUNTY,NH ,CANDIA SCHOOL DISTRICT
CANDLER COUNTY,Georgia,1300810,CANDLER COUNTY,GA ,CANDLER COUNTY
CANDOR CENTRAL SCHOOL DISTRICT,New York,3606420,TIOGA COUNTY,NY ,CANDOR CENTRAL SCHOOL DISTRICT
CANEY,Oklahoma,4006420,ATOKA COUNTY,OK ,CANEY
CANEY VALLEY,Oklahoma,4025470,WASHINGTON COUNTY,OK ,CANEY VALLEY
CANEY VALLEY,Kansas,2004410,MONTGOMERY COUNTY,KS ,CANEY VALLEY
CANFIELD LOCAL,Ohio,3904831,MAHONING COUNTY,OH ,CANFIELD LOCAL
CANISTEO-GREENWOOD CSD,New York,3600124,STEUBEN COUNTY,NY ,CANISTEO-GREENWOOD CSD
CANISTOTA SCHOOL DISTRICT 43-1,South Dakota,4610320,MCCOOK COUNTY,SD ,CANISTOTA SCHOOL DISTRICT 43-1
CANNELTON CITY SCHOOLS,Indiana,1801170,PERRY COUNTY,IN ,CANNELTON CITY SCHOOLS
CANNON COUNTY,Tennessee,4700450,CANNON COUNTY,TN ,CANNON COUNTY
CANNON FALLS PUBLIC SCHOOL DISTRICT,Minnesota,2707500,GOODHUE COUNTY,MN ,CANNON FALLS PUBLIC SCHOOL DISTRICT
CANNON RIVER STEM SCHOOL,Minnesota,2700324,RICE COUNTY,MN ,CANNON RIVER STEM SCHOOL
CANON ELEMENTARY DISTRICT,Arizona,401650,YAVAPAI COUNTY,AZ ,CANON ELEMENTARY DISTRICT
CANON-MCMILLAN SD,Pennsylvania,4204890,WASHINGTON COUNTY,PA ,CANON-MCMILLAN SD
CANTERBURY SCHOOL DISTRICT,Connecticut,900660,WINDHAM COUNTY,CT ,CANTERBURY SCHOOL DISTRICT
CANTON,Massachusetts,2503300,NORFOLK COUNTY,MA ,CANTON
CANTON,Oklahoma,4006480,BLAINE COUNTY,OK ,CANTON
CANTON AREA SD,Pennsylvania,4204920,BRADFORD COUNTY,PA ,CANTON AREA SD
CANTON CENTRAL SCHOOL DISTRICT,New York,3606470,ST. LAWRENCE COUNTY,NY ,CANTON CENTRAL SCHOOL DISTRICT
CANTON CHARTER ACADEMY,Michigan,2600263,WAYNE COUNTY,MI ,CANTON CHARTER ACADEMY
CANTON CITY,Ohio,3904371,STARK COUNTY,OH ,CANTON CITY
CANTON ISD,Texas,4812750,VAN ZANDT COUNTY,TX ,CANTON ISD
CANTON LOCAL,Ohio,3904983,STARK COUNTY,OH ,CANTON LOCAL
CANTON LOCAL DIGITAL ACADEMY,Ohio,3900172,STARK COUNTY,OH ,CANTON LOCAL DIGITAL ACADEMY
CANTON PUBLIC SCHOOL DIST,Mississippi,2800900,MADISON COUNTY,MS ,CANTON PUBLIC SCHOOL DIST
CANTON R-V,Missouri,2907080,LEWIS COUNTY,MO ,CANTON R-V
CANTON SCHOOL DISTRICT,Connecticut,900690,HARTFORD COUNTY,CT ,CANTON SCHOOL DISTRICT
CANTON SCHOOL DISTRICT 41-1,South Dakota,4610560,LINCOLN COUNTY,SD ,CANTON SCHOOL DISTRICT 41-1
CANTON UNION SD 66,Illinois,1708280,FULTON COUNTY,IL ,CANTON UNION SD 66
CANTON-GALVA,Kansas,2004440,MCPHERSON COUNTY,KS ,CANTON-GALVA
CANUTE,Oklahoma,4006510,WASHITA COUNTY,OK ,CANUTE
CANUTILLO ISD,Texas,4812780,EL PASO COUNTY,TX ,CANUTILLO ISD
CANYON CREEK ELEM,Montana,3005460,YELLOWSTONE COUNTY,MT ,CANYON CREEK ELEM
CANYON ELEM,California,607350,CONTRA COSTA COUNTY,CA ,CANYON ELEMENTARY
CANYON ISD,Texas,4812810,RANDALL COUNTY,TX ,CANYON ISD
CANYON RIM ACADEMY,Utah,4900071,SALT LAKE COUNTY,UT ,CANYON RIM ACADEMY
CANYON ROSE ACADEMY  INC.,Arizona,400633,PIMA COUNTY,AZ ,CANYON ROSE ACADEMY  INC.
CANYON-OWYHEE SPECIAL SERVICES AGENCY,Idaho,1600152,CANYON COUNTY,ID ,COSSA
CANYONS DISTRICT,Utah,4900142,SALT LAKE COUNTY,UT ,CANYONS DISTRICT
CAPAC COMMUNITY SCHOOLS,Michigan,2607800,ST. CLAIR COUNTY,MI ,CAPAC COMMUNITY SCHOOL DISTRICT
CAPAY JOINT UNION ELEM,California,607410,GLENN COUNTY,CA ,CAPAY JOINT UNION ELEMENTARY
CAPE COD LIGHTHOUSE CHARTER (DISTRICT),Massachusetts,2500024,BARNSTABLE COUNTY,MA ,CAPE COD LIGHTHOUSE CHARTER (DISTRICT)
CAPE COD REGIONAL VOCATIONAL TECHNICAL,Massachusetts,2503310,BARNSTABLE COUNTY,MA ,CAPE COD REGIONAL VOCATIONAL TECHNICAL
CAPE ELIZABETH SCHOOL DEPARTMENT,Maine,2303930,CUMBERLAND COUNTY,ME ,CAPE ELIZABETH SCHOOL DEPARTMENT
CAPE FEAR CENTER FOR INQUIRY,North Carolina,3700108,NEW HANOVER COUNTY,NC ,CAPE FEAR CENTER FOR INQUIRY
CAPE FLATTERY SCHOOL DISTRICT,Washington,5300840,CLALLAM COUNTY,WA ,CAPE FLATTERY SCHOOL DISTRICT
CAPE GIRARDEAU 63,Missouri,2907120,CAPE GIRARDEAU COUNTY,MO ,CAPE GIRARDEAU 63
CAPE HENLOPEN SCHOOL DISTRICT,Delaware,1000170,SUSSEX COUNTY,DE ,CAPE HENLOPEN SCHOOL DISTRICT
CAPE LOOKOUT MARINE SCIENCE HIGH,North Carolina,3700051,CARTERET COUNTY,NC ,CAPE LOOKOUT MARINE SCI HIGH
CAPE MAY CITY BOARD OF EDUCATION,New Jersey,3402700,CAPE MAY COUNTY,NJ ,CAPE MAY CITY
CAPE MAY COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,3402740,CAPE MAY COUNTY,NJ ,CAPE MAY COUNTY SPECIAL S
CAPE MAY COUNTY TECHNICAL HIGH SCHOOL DISTRICT,New Jersey,3402730,CAPE MAY COUNTY,NJ ,CAPE MAY COUNTY VOCATIONA
CAPISTRANO UNF,California,607440,ORANGE COUNTY,CA ,CAPISTRANO UNIFIED
CAPISTRANO-LAGUNA BEACH ROP,California,600122,ORANGE COUNTY,CA ,CAPISTRANO-LAGUNA BEACH ROP
CAPISTRANO-LAGUNA BEACH ROP JPA,California,601347,ORANGE COUNTY,CA ,CAPISTRANO-LAGUNA BEACH ROP JPA
CAPITAL AREA ACADEMY,Michigan,2600201,INGHAM COUNTY,MI ,CAPITAL AREA ACADEMY
CAPITAL AREA CAREER CENTER,Illinois,1700328,SANGAMON COUNTY,IL ,CAPITAL AREA CAREER CENTER
CAPITAL AREA IU 15,Pennsylvania,4289250,CUMBERLAND COUNTY,PA ,CAPITAL AREA IU 15
CAPITAL CITY PCS,District of Columbia,1100035,DISTRICT OF COLUMBIA,DC ,CAPITAL CITY PCS
CAPITAL HIGH SCHOOL,Ohio,3901416,FRANKLIN COUNTY,OH ,WEST COLUMBUS DROP BACK IN
CAPITAL PREPARTORY CHARTER HIGH SCHOOL,New Jersey,3400722,MERCER COUNTY,NJ ,CAPITAL PREPARTORY CHARTER HIGH SCHOOL
CAPITAL REGION BOCES,New York,3680100,ALBANY COUNTY,NY ,CAPITAL REGION BOCES
CAPITAL SCHOOL DISTRICT,Delaware,1000190,KENT COUNTY,DE ,CAPITAL SCHOOL DISTRICT
CAPITAN MUNICIPAL SCHOOLS,New Mexico,3500270,LINCOLN COUNTY,NM ,CAPITAN MUNICIPAL SCHOOLS
CAPITOL REGION EDUCATION COUN,Connecticut,900700,HARTFORD COUNTY,CT ,CAPITOL REGION EDUCATION COUN
CAPITOL WEST ACADEMY AGENCY,Wisconsin,5500114,MILWAUKEE COUNTY,WI ,CAPITOL WEST ACADEMY AGENCY
CARATUNK SCHOOL DEPARTMENT,Maine,2300061,SOMERSET COUNTY,ME ,CARATUNK SCHOOL DEPARTMENT
CARBON,Montana,3000014,CARBON COUNTY,MT ,CARBON
CARBON CAREER & TECHNICAL INSTITUTE,Pennsylvania,4280130,CARBON COUNTY,PA ,CARBON CAREER & TECHNICAL INSTITUTE
CARBON CLIFF-BARSTOW SD 36,Illinois,1708310,ROCK ISLAND COUNTY,IL ,CARBON CLIFF-BARSTOW SD 36
CARBON COUNTY SCHOOL DISTRICT #1,Wyoming,5601030,CARBON COUNTY,WY ,CARBON COUNTY SCHOOL DISTRICT #1
CARBON COUNTY SCHOOL DISTRICT #2,Wyoming,5601700,CARBON COUNTY,WY ,CARBON COUNTY SCHOOL DISTRICT #2
CARBON DISTRICT,Utah,4900150,CARBON COUNTY,UT ,CARBON DISTRICT
CARBON-LEHIGH IU 21,Pennsylvania,4289310,LEHIGH COUNTY,PA ,CARBON-LEHIGH IU 21
CARBONADO SCHOOL DISTRICT,Washington,5300870,PIERCE COUNTY,WA ,CARBONADO SCHOOL DISTRICT
CARBONDALE AREA SD,Pennsylvania,4204980,LACKAWANNA COUNTY,PA ,CARBONDALE AREA SD
CARBONDALE CHSD 165,Illinois,1708370,JACKSON COUNTY,IL ,CARBONDALE CHSD 165
CARBONDALE ESD 95,Illinois,1708340,JACKSON COUNTY,IL ,CARBONDALE ESD 95
CARDEN OF TUCSON  INC.,Arizona,400258,PIMA COUNTY,AZ ,CARDEN OF TUCSON  INC.
CARDEN TRADITIONAL SCHOOL OF GLENDALE  INC.,Arizona,400045,MARICOPA COUNTY,AZ ,CARDEN TRADITIONAL SCHOOL OF GLENDALE  INC.
CARDIFF ELEM,California,607470,SAN DIEGO COUNTY,CA ,CARDIFF ELEMENTARY
CARDINAL ACADEMY OF MUNCIE,Indiana,1800089,DELAWARE COUNTY,IN ,CARDINAL ACADEMY OF MUNCIE
CARDINAL COMM SCHOOL DISTRICT,Iowa,1906240,WAPELLO COUNTY,IA ,CARDINAL COMM SCHOOL DISTRICT
CARDINAL LOCAL,Ohio,3904717,GEAUGA COUNTY,OH ,CARDINAL LOCAL
CARDINGTON LINCOLN LOCAL DIGITAL ACADEMY,Ohio,3900266,MORROW COUNTY,OH ,CARDINGTON LINCOLN LOCAL DIGITAL ACADEMY
CARDINGTON-LINCOLN LOCAL,Ohio,3904879,MORROW COUNTY,OH ,CARDINGTON-LINCOLN LOCAL
CARDWELL ELEM,Montana,3005550,JEFFERSON COUNTY,MT ,CARDWELL ELEM
CAREER & TECH EDUC CONSORTIUM,Illinois,1700238,STEPHENSON COUNTY,IL ,CAREER & TECH EDUC CONSORTIUM
CAREER AND TECHNOLOGY EDUCATIONAL CENTERS,Ohio,3905120,LICKING COUNTY,OH ,CAREER AND TECHNOLOGY EDUCATIONAL CENTERS
CAREER CONNECTIONS CHS,Pennsylvania,4200045,ALLEGHENY COUNTY,PA ,CAREER CONNECTIONS CHS
CAREER DEVELOPMENT  INC.,Arizona,400077,NAVAJO COUNTY,AZ ,CAREER DEVELOPMENT  INC.
CAREER DEVELOPMENT SYSTEM,Illinois,1700249,COOK COUNTY,IL ,CAREER DEVELOPMENT SYSTEM
CAREER EDUC ASSOC OF N CENTRAL IL,Illinois,1700235,WINNEBAGO COUNTY,IL ,CAREER EDUC ASSOC OF N CENTRAL IL
CAREER INSTITUTE OF TECHNOLOGY,Pennsylvania,4280380,NORTHAMPTON COUNTY,PA ,CAREER INSTITUTE OF TECHNOLOGY
CAREER PREP NET @ PRAIRIE STATE,Illinois,1700253,COOK COUNTY,IL ,CAREER PREP NET @ PRAIRIE STATE
CAREER SUCCESS HIGH SCHOOL - MESA,Arizona,400611,MARICOPA COUNTY,AZ ,CAREER SUCCESS HIGH SCHOOL - MESA
CAREER SUCCESS SCHOOLS,Arizona,400219,MARICOPA COUNTY,AZ ,CAREER SUCCESS SCHOOLS
CAREY EXEMPTED VILLAGE,Ohio,3904526,WYANDOT COUNTY,OH ,CAREY EXEMPTED VILLAGE
CARL JUNCTION R-I,Missouri,2907350,JASPER COUNTY,MO ,CARL JUNCTION R-I
CARLE PLACE UNION FREE SCHOOL DISTRICT,New York,3606540,NASSAU COUNTY,NY ,CARLE PLACE UNION FREE SCHOOL DISTRICT
CARLINVILLE CUSD 1,Illinois,1708430,MACOUPIN COUNTY,IL ,CARLINVILLE CUSD 1
CARLISLE,Massachusetts,2503330,MIDDLESEX COUNTY,MA ,CARLISLE
CARLISLE AREA SD,Pennsylvania,4205010,CUMBERLAND COUNTY,PA ,CARLISLE AREA SD
CARLISLE CO,Kentucky,2100960,CARLISLE COUNTY,KY ,CARLISLE CO
CARLISLE COMM SCHOOL DISTRICT,Iowa,1906270,WARREN COUNTY,IA ,CARLISLE COMM SCHOOL DISTRICT
CARLISLE ISD,Texas,4812870,RUSK COUNTY,TX ,CARLISLE ISD
CARLISLE LOCAL,Ohio,3905041,WARREN COUNTY,OH ,CARLISLE LOCAL
CARLISLE SCHOOL DISTRICT,Arkansas,503960,LONOKE COUNTY,AR ,CARLISLE SCHOOL DISTRICT
CARLOS ROSARIO INTERNATIONAL PCS,District of Columbia,1100004,DISTRICT OF COLUMBIA,DC ,CARLOS ROSARIO INTERNATIONAL PCS
CARLSBAD MUNICIPAL SCHOOLS,New Mexico,3500300,EDDY COUNTY,NM ,CARLSBAD MUNICIPAL SCHOOLS
CARLSBAD UNF,California,607500,SAN DIEGO COUNTY,CA ,CARLSBAD UNIFIED
CARLSTADT PUBLIC SCHOOL,New Jersey,3402790,BERGEN COUNTY,NJ ,CARLSTADT
CARLSTADT-EAST RUTHERFORD REGIONAL HIGH SCHOOL,New Jersey,3402800,BERGEN COUNTY,NJ ,CARLSTADT-EAST RUTHERFORD
CARLTON PUBLIC SCHOOL DISTRICT,Minnesota,2707590,CARLTON COUNTY,MN ,CARLTON PUBLIC SCHOOL DISTRICT
CARLYLE CUSD 1,Illinois,1708460,CLINTON COUNTY,IL ,CARLYLE CUSD 1
CARLYNTON SD,Pennsylvania,4205040,ALLEGHENY COUNTY,PA ,CARLYNTON SD
CARMAN-AINSWORTH COMMUNITY SCHOOLS,Michigan,2607890,GENESEE COUNTY,MI ,CARMAN-AINSWORTH COMMUNITY SCHOOLS
CARMEL CENTRAL SCHOOL DISTRICT,New York,3606570,PUTNAM COUNTY,NY ,CARMEL CENTRAL SCHOOL DISTRICT
CARMEL CLAY SCHOOLS,Indiana,1801200,HAMILTON COUNTY,IN ,CARMEL CLAY SCHOOLS
CARMEL UNF,California,607530,MONTEREY COUNTY,CA ,CARMEL UNIFIED
CARMI-WHITE COUNTY CUSD 5,Illinois,1708500,WHITE COUNTY,IL ,CARMI-WHITE COUNTY CUSD 5
CARMICHAELS AREA SD,Pennsylvania,4205070,GREENE COUNTY,PA ,CARMICHAELS AREA SD
CARNEGIE,Oklahoma,4006630,CADDO COUNTY,OK ,CARNEGIE
CARNEY,Oklahoma,4006690,LINCOLN COUNTY,OK ,CARNEY
CARNEY-NADEAU PUBLIC SCHOOLS,Michigan,2608010,MENOMINEE COUNTY,MI ,CARNEY-NADEAU PUBLIC SCHOOLS
CARO COMMUNITY SCHOOLS,Michigan,2608040,TUSCOLA COUNTY,MI ,CARO COMMUNITY SCHOOLS
CAROLINA INTERNATIONAL SCHOOL,North Carolina,3700133,CABARRUS COUNTY,NC ,CAROLINA INTERNATIONAL
CAROLINE CO PBLC SCHS,Virginia,5100660,CAROLINE COUNTY,VA ,CAROLINE CO PBLC SCHS
CAROLINE COUNTY PUBLIC SCHOOLS,Maryland,2400180,CAROLINE COUNTY,MD ,CAROLINE COUNTY PUBLIC SCHOOLS
CARONDELET LEADERSHIP ACADEMY,Missouri,2900594,ST. LOUIS CITY,MO ,CARONDELET LEADERSHIP ACADEMY
CARPE DIEM COLLEGIATE HIGH SCHOOL,Arizona,400381,YUMA COUNTY,AZ ,CARPE DIEM COLLEGIATE HIGH SCHOOL
CARPINTERIA UNF,California,607560,SANTA BARBARA COUNTY,CA ,CARPINTERIA UNIFIED
CARRABASSETT VALLEY SCHOOL DEPARTMENT,Maine,2303980,KENNEBEC COUNTY,ME ,CARRABASSETT VALLEY SCHOOL DEPARTMENT
CARRIER MILLS-STONEFORT CUSD 2,Illinois,1708580,SALINE COUNTY,IL ,CARRIER MILLS-STONEFORT CUSD 2
CARRINGTON 49,North Dakota,3800053,FOSTER COUNTY,ND ,CARRINGTON 49
CARRIZO SPRINGS CISD,Texas,4812990,DIMMIT COUNTY,TX ,CARRIZO SPRINGS CISD
CARRIZOZO MUNICIPAL SCHOOLS,New Mexico,3500330,LINCOLN COUNTY,NM ,CARRIZOZO MUNICIPAL SCHOOLS
CARROLL CO PBLC SCHS,Virginia,5100690,CARROLL COUNTY,VA ,CARROLL CO PBLC SCHS
CARROLL COMM SCHOOL DISTRICT,Iowa,1906330,CARROLL COUNTY,IA ,CARROLL COMM SCHOOL DISTRICT
CARROLL CONSOLIDATED SCH CORP,Indiana,1801290,CARROLL COUNTY,IN ,CARROLL CONSOLIDATED SCH CORP
CARROLL COUNTY,Georgia,1300840,CARROLL COUNTY,GA ,CARROLL COUNTY
CARROLL COUNTY,Kentucky,2100990,CARROLL COUNTY,KY ,CARROLL COUNTY
CARROLL COUNTY,Tennessee,4700480,CARROLL COUNTY,TN ,CARROLL COUNTY
CARROLL COUNTY PUBLIC SCHOOLS,Maryland,2400210,CARROLL COUNTY,MD ,CARROLL COUNTY PUBLIC SCHOOLS
CARROLL COUNTY SCHOOL DIST,Mississippi,2800930,CARROLL COUNTY,MS ,CARROLL COUNTY SCHOOL DIST
CARROLL ISD,Texas,4813020,TARRANT COUNTY,TX ,CARROLL ISD
CARROLL PLT SCHOOL DEPARTMENT,Maine,2303990,WASHINGTON COUNTY,ME ,CARROLL PLT SCHOOL DEPARTMENT
CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER,Virginia,5100100,CARROLL COUNTY,VA ,CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER
CARROLL/JO DAVIESS/STEPHENSON ROE,Illinois,1700170,JO DAVIESS COUNTY,IL ,CARROLL/JO DAVIESS/STEPHENSON ROE
CARROLLTON CITY,Georgia,1300870,CARROLL COUNTY,GA ,CARROLLTON CITY
CARROLLTON CUSD 1,Illinois,1708610,GREENE COUNTY,IL ,CARROLLTON CUSD 1
CARROLLTON EXEMPTED VILLAGE,Ohio,3904527,CARROLL COUNTY,OH ,CARROLLTON EXEMPTED VILLAGE
CARROLLTON PUBLIC SCHOOLS,Michigan,2608070,SAGINAW COUNTY,MI ,CARROLLTON SCHOOL DISTRICT
CARROLLTON R-VII,Missouri,2907380,CARROLL COUNTY,MO ,CARROLLTON R-VII
CARROLLTON-FARMERS BRANCH ISD,Texas,4813050,DALLAS COUNTY,TX ,CARROLLTON-FARMERS BRANCH ISD
CARSON CITY SCHOOL DISTRICT,Nevada,3200390,CARSON CITY,NV ,CARSON CITY SCHOOL DISTRICT
CARSON CITY-CRYSTAL AREA SCHOOLS,Michigan,2608130,MONTCALM COUNTY,MI ,CARSON CITY-CRYSTAL AREA SCHOOLS
CARSONVILLE-PORT SANILAC SCHOOL DISTRICT,Michigan,2608160,SANILAC COUNTY,MI ,CARSONVILLE-PORT SANILAC SCHOOL DISTRICT
CARTER,Montana,3000015,CARTER COUNTY,MT ,CARTER
CARTER COMMUNITY CHARTER,North Carolina,3700054,DURHAM COUNTY,NC ,CARTER COMMUNITY CHARTER
CARTER COUNTY,Kentucky,2101020,CARTER COUNTY,KY ,CARTER COUNTY
CARTER COUNTY,Tennessee,4700510,CARTER COUNTY,TN ,CARTER COUNTY
CARTER COUNTY H S,Montana,3005610,CARTER COUNTY,MT ,CARTER COUNTY H S
CARTER ELEM,Montana,3005760,CHOUTEAU COUNTY,MT ,CARTER ELEM
CARTER G WOODSON SCHOOL,North Carolina,3700027,FORSYTH COUNTY,NC ,C G WOODSON SCH OF CHALLENGE
CARTERET COUNTY PUBLIC SCHOOLS,North Carolina,3700630,CARTERET COUNTY,NC ,CARTERET COUNTY PUBLIC SCHOOLS
CARTERET PUBLIC SCHOOLS,New Jersey,3402820,MIDDLESEX COUNTY,NJ ,CARTERET BOROUGH
CARTERSVILLE CITY,Georgia,1300900,BARTOW COUNTY,GA ,CARTERSVILLE CITY
CARTERVILLE CUSD 5,Illinois,1708640,WILLIAMSON COUNTY,IL ,CARTERVILLE CUSD 5
CARTHAGE CENTRAL SCHOOL DISTRICT,New York,3606630,JEFFERSON COUNTY,NY ,CARTHAGE CENTRAL SCHOOL DISTRICT
CARTHAGE ESD 317,Illinois,1701385,HANCOCK COUNTY,IL ,CARTHAGE ESD 317
CARTHAGE ISD,Texas,4813110,PANOLA COUNTY,TX ,CARTHAGE ISD
CARTHAGE R-IX,Missouri,2907460,JASPER COUNTY,MO ,CARTHAGE R-IX
CARTWRIGHT ELEMENTARY DISTRICT,Arizona,401680,MARICOPA COUNTY,AZ ,CARTWRIGHT ELEMENTARY DISTRICT
CARUTHERS UNF,California,600067,FRESNO COUNTY,CA ,CARUTHERS UNIFIED
CARUTHERSVILLE 18,Missouri,2907470,PEMISCOT COUNTY,MO ,CARUTHERSVILLE 18
CARVER,Massachusetts,2503360,PLYMOUTH COUNTY,MA ,CARVER
CARVER-SCOTT EDUCATIONAL COOP.,Minnesota,2700012,CARVER COUNTY,MN ,CARVER-SCOTT EDUCATIONAL COOP.
CARY CCSD 26,Illinois,1708730,MCHENRY COUNTY,IL ,CARY CCSD 26
CASA ESPERANZA MONTESSORI,North Carolina,3700131,WAKE COUNTY,NC ,CASA ESPERANZA MONTESSORI
CASA GRANDE ELEMENTARY DISTRICT,Arizona,401710,PINAL COUNTY,AZ ,CASA GRANDE ELEMENTARY DISTRICT
CASA GRANDE UNION HIGH SCHOOL DISTRICT,Arizona,401740,PINAL COUNTY,AZ ,CASA GRANDE UNION HIGH SCHOOL DISTRICT
CASA RICHARD ACADEMY,Michigan,2600123,WAYNE COUNTY,MI ,CASA RICHARD ACADEMY
CASCADE,Montana,3000016,CASCADE COUNTY,MT ,CASCADE
CASCADE DISTRICT,Idaho,1600630,VALLEY COUNTY,ID ,CASCADE DISTRICT
CASCADE ELEM,Montana,3005880,CASCADE COUNTY,MT ,CASCADE ELEM
CASCADE H S,Montana,3005910,CASCADE COUNTY,MT ,CASCADE H S
CASCADE SCHOOL DISTRICT,Washington,5300950,CHELAN COUNTY,WA ,CASCADE SCHOOL DISTRICT
CASCADE SD 5,Oregon,4102780,MARION COUNTY,OR ,CASCADE SD 5
CASCADE UNION ELEM,California,607680,SHASTA COUNTY,CA ,CASCADE UNION ELEMENTARY
CASEVILLE PUBLIC SCHOOLS,Michigan,2608280,HURON COUNTY,MI ,CASEVILLE PUBLIC SCHOOLS
CASEY COUNTY,Kentucky,2101050,CASEY COUNTY,KY ,CASEY COUNTY
CASEY-WESTFIELD CUSD 4C,Illinois,1700002,CLARK COUNTY,IL ,CASEY-WESTFIELD CUSD 4C
CASHION,Oklahoma,4006810,KINGFISHER COUNTY,OK ,CASHION
CASHMERE SCHOOL DISTRICT,Washington,5300960,CHELAN COUNTY,WA ,CASHMERE SCHOOL DISTRICT
CASHTON SCHOOL DISTRICT,Wisconsin,5502340,MONROE COUNTY,WI ,CASHTON SCHOOL DISTRICT
CASMAN ALTERNATIVE ACADEMY,Michigan,2600152,MANISTEE COUNTY,MI ,CASMAN ALTERNATIVE ACADEMY
CASS CITY PUBLIC SCHOOLS,Michigan,2608400,TUSCOLA COUNTY,MI ,CASS CITY PUBLIC SCHOOLS
CASS LAKE-BENA PUBLIC SCHOOLS,Minnesota,2708070,CASS COUNTY,MN ,CASS LAKE-BENA PUBLIC SCHOOLS
CASS SD 63,Illinois,1708790,DUPAGE COUNTY,IL ,CASS SD 63
CASS TOWNSHIP SCHOOLS,Indiana,1801320,LAPORTE COUNTY,IN ,CASS TOWNSHIP SCHOOLS
